--------- beginning of /dev/log/main
05-22 02:45:13.652 I/Gecko   (   83): 1400751913670	Marionette	INFO	Switched to frame: {"frameValue":"{7cb31a47-258a-4a58-8dd1-9f790cfc4d90}"}
05-22 02:45:13.672 I/Gecko   (   83): 1400751913685	Marionette	INFO	trying remote frame 0
05-22 02:45:13.672 I/Gecko   (   83): 1400751913686	Marionette	INFO	trying remote frame 1
05-22 02:45:13.672 I/Gecko   (   83): 1400751913687	Marionette	INFO	trying remote frame 2
05-22 02:45:13.682 I/Gecko   (   83): 1400751913698	Marionette	INFO	frame-manager load script: [object ChromeMessageSender]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1035 column: 20 source: "  -moz-border-radius: 3px;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-background-size'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1301 column: 22 source: "  -moz-background-size: 34px 170px;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1329 column: 20 source: "  -moz-border-radius: 5px;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected declaration but found '*'.  Skipped to next declaration." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1332 column: 2 source: "  *zoom: 1;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1333 column: 10 source: "  filter: progid:DXImageTransform.Microsoft.gradient(gradientType=0, startColorstr='#FFBF0000', endColorstr='#FFD96666');"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1334 column: 20 source: "  background-image: -webkit-gradient(linear, 50% 0%, 50% 100%, color-stop(0%, #bf0000), color-stop(49%, #d96666), color-stop(100%, #d96666));"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1335 column: 20 source: "  background-image: -webkit-linear-gradient(top, #bf0000 0%, #d96666 49%, #d96666 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1337 column: 20 source: "  background-image: -o-linear-gradient(top, #bf0000 0%, #d96666 49%, #d96666 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected color but found 'top'.  Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1338 column: 36 source: "  background-image: linear-gradient(top, #bf0000 0%, #d96666 49%, #d96666 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1339 column: 14 source: "  background: -webkit-gradient(linear, 0% 49%, 0% 50%, from(#bf0000), to(#d96666));"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected declaration but found '*'.  Skipped to next declaration." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1360 column: 2 source: "  *zoom: 1;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1361 column: 10 source: "  filter: progid:DXImageTransform.Microsoft.gradient(gradientType=0, startColorstr='#FFF2F2F2', endColorstr='#FFFFFFFF');"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1362 column: 20 source: "  background-image: -webkit-gradient(linear, 50% 0%, 50% 100%, color-stop(0%, #f2f2f2), color-stop(49%, #f2f2f2), color-stop(100%, #ffffff));"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1363 column: 20 source: "  background-image: -webkit-linear-gradient(top, #f2f2f2 0%, #f2f2f2 49%, #ffffff 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1365 column: 20 source: "  background-image: -o-linear-gradient(top, #f2f2f2 0%, #f2f2f2 49%, #ffffff 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected color but found 'top'.  Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1366 column: 36 source: "  background-image: linear-gradient(top, #f2f2f2 0%, #f2f2f2 49%, #ffffff 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected declaration but found '*'.  Skipped to next declaration." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1381 column: 2 source: "  *zoom: 1;"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1382 column: 10 source: "  filter: progid:DXImageTransform.Microsoft.gradient(gradientType=0, startColorstr='#FFFFFFFF', endColorstr='#FFDFDFDF');"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1383 column: 20 source: "  background-image: -webkit-gradient(linear, 50% 0%, 50% 100%, color-stop(0%, #ffffff), color-stop(100%, #dfdfdf));"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1384 column: 20 source: "  background-image: -webkit-linear-gradient(top, #ffffff 0%, #dfdfdf 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1386 column: 20 source: "  background-image: -o-linear-gradient(top, #ffffff 0%, #dfdfdf 100%);"}]
05-22 02:45:17.132 E/GeckoConsole( 1157): [JavaScript Warning: "Expected color but found 'top'.  Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1387 column: 36 source: "  background-image: linear-gradient(top, #ffffff 0%, #dfdfdf 100%);"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1400 column: 20 source: "  -moz-border-radius: 4px;"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1405 column: 17 source: "  -moz-box-shadow: 0 1px 1px white;"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-box-shadow'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1429 column: 17 source: "  -moz-box-shadow: 0 0 3px 0 #b2b2b2 inset;"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1445 column: 20 source: "  -moz-border-radius: 4px;"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Expected declaration but found '*'.  Skipped to next declaration." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1450 column: 2 source: "  *zoom: 1;"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1451 column: 10 source: "  filter: progid:DXImageTransform.Microsoft.gradient(gradientType=0, startColorstr='#FFFD8990', endColorstr='#FFEB0F0F');"}]
05-22 02:45:17.142 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'background-image'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 1452 column: 20 source: "  background-image: -webkit-gradient(linear, 50% 0%, 50% 100%, color-stop(0%, #fd8990), color-stop(49%, #eb3c3c), color-stop(100%, #eb0f0f));"}]
