--------- beginning of /dev/log/main
04-26 12:13:36.915 I/GonkMemoryPressure( 1775): Memory pressure is over.
04-26 12:13:36.925 I/GonkMemoryPressure(   83): Checking to see if memory pressure is over.
04-26 12:13:37.005 I/GonkMemoryPressure( 1829): Memory pressure is over.
04-26 12:13:37.815 I/Gecko   ( 1775): SharedSurface_Gralloc::Create -------
04-26 12:13:37.925 I/Gecko   ( 1775): SharedSurface_Gralloc::Create: success -- surface 0x481f8d80, GraphicBuffer 0x44275180.
04-26 12:13:38.595 I/Gecko   ( 1775): [SharedSurface_Gralloc 0x44527100] destroyed
04-26 12:13:39.595 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:44.605 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd903f8, header: 0xd8c7d0, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90400, header: 0xd91f70, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90408, header: 0xd93a18, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd903f0, header: 0xd8fbf8, iRefCount: 0
04-26 12:13:47.085 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91460, header: 0xd90930, iRefCount: 0
04-26 12:13:47.085 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd919f8, header: 0xd8c988, iRefCount: 0
04-26 12:13:47.085 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91468, header: 0xd91d88, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd97be8, header: 0xd97b80, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd97bf0, header: 0xd97cf0, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd97bf8, header: 0xd97e68, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd97c00, header: 0xd97fe0, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd88598, header: 0xd880e8, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd885a0, header: 0xd88f38, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd885a8, header: 0xd8a4c0, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd885b0, header: 0xd8b848, iRefCount: 0
04-26 12:13:47.095 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a00, header: 0xd91b00, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91470, header: 0xd92790, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e68, header: 0xd91658, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a08, header: 0xd92370, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91478, header: 0xd93908, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e70, header: 0xd928a0, iRefCount: 0
04-26 12:13:47.105 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e78, header: 0xd92a18, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91460, header: 0xd90930, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a10, header: 0xd94388, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e80, header: 0xd93ca0, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91468, header: 0xd91d88, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e68, header: 0xd91658, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e70, header: 0xd928a0, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd919f8, header: 0xd8c988, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91e78, header: 0xd92a18, iRefCount: 0
04-26 12:13:47.115 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91470, header: 0xd92790, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d80, header: 0xd921f0, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb10, header: 0xd90600, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb18, header: 0xd91550, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8cb20, header: 0xd93228, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a00, header: 0xd91b00, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91478, header: 0xd93908, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a08, header: 0xd92370, iRefCount: 0
04-26 12:13:47.125 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d88, header: 0xd92ef8, iRefCount: 0
04-26 12:13:47.135 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a0, header: 0xd904f0, iRefCount: 0
04-26 12:13:47.135 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91a10, header: 0xd94388, iRefCount: 0
04-26 12:13:47.135 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91460, header: 0xd90930, iRefCount: 0
04-26 12:13:47.135 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d90, header: 0xd94d08, iRefCount: 0
04-26 12:13:47.135 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a8, header: 0xd91770, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e0, header: 0xd87f70, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94c00, header: 0xd93000, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94c08, header: 0xd96218, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94c10, header: 0xd96e38, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94c18, header: 0xd96fb0, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d98, header: 0xd966b0, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff38, header: 0xd8f338, iRefCount: 0
04-26 12:13:47.145 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91468, header: 0xd91d88, iRefCount: 0
04-26 12:13:47.165 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e8, header: 0xd89268, iRefCount: 0
04-26 12:13:47.165 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b0, header: 0xd92d08, iRefCount: 0
04-26 12:13:47.165 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d80, header: 0xd921f0, iRefCount: 0
04-26 12:13:47.165 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91470, header: 0xd92790, iRefCount: 0
04-26 12:13:47.165 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff40, header: 0xd90d28, iRefCount: 0
04-26 12:13:47.235 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888f0, header: 0xd8a2e8, iRefCount: 0
04-26 12:13:47.235 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888f8, header: 0xd8ad68, iRefCount: 0
04-26 12:13:47.235 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e0, header: 0xd87f70, iRefCount: 0
04-26 12:13:47.235 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888e8, header: 0xd89268, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91478, header: 0xd93908, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91460, header: 0xd90930, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91468, header: 0xd91d88, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd91470, header: 0xd92790, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b8, header: 0xd93790, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a0, header: 0xd904f0, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a8, header: 0xd91770, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b0, header: 0xd92d08, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8c9f8, header: 0xd90828, iRefCount: 0
04-26 12:13:47.245 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca00, header: 0xd91c78, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca08, header: 0xd92b90, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca10, header: 0xd93618, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff48, header: 0xd93118, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff50, header: 0xd95330, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff38, header: 0xd8f338, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff40, header: 0xd90d28, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d88, header: 0xd92ef8, iRefCount: 0
04-26 12:13:47.255 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d90, header: 0xd94d08, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d98, header: 0xd966b0, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd92d80, header: 0xd921f0, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5a8, header: 0xd88298, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5b0, header: 0xd88c08, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5b8, header: 0xd8a970, iRefCount: 0
04-26 12:13:47.265 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5c0, header: 0xd89530, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94e90, header: 0xd93b20, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94e98, header: 0xd952c0, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94ea0, header: 0xd96828, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909b8, header: 0xd93790, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd94ea8, header: 0xd969a0, iRefCount: 0
04-26 12:13:47.275 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd909a0, header: 0xd904f0, iRefCount: 0
