--------- beginning of /dev/log/main
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4173 column: 22 source: "      -moz-align-items: center;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4212 column: 15 source: "      display: -webkit-box;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4213 column: 15 source: "      display: -webkit-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4215 column: 15 source: "      display: -moz-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4216 column: 15 source: "      display: -ms-flexbox;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4221 column: 22 source: "      -moz-align-items: center;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4450 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4451 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4453 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4454 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4459 column: 18 source: "  -moz-align-items: stretch;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4468 column: 11 source: "  -moz-flex: 0 0 320px;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4483 column: 11 source: "  -moz-flex: 1 0 auto;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Expected end of value but found '1.42857'.  Error in parsing value for 'margin'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4492 column: 14 source: "  margin: 0 0 1.42857; }"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'margin-bottom'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4496 column: 17 source: "  margin-bottom: 1.42857;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'font-size'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4505 column: 15 source: "    font-size: 1.07143; }"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4523 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4524 column: 11 source: "  display: -webkit-flex;"}]
